,text,favourite_count,retweet_count,created_at
0,"#Sinovac üretecektik. Şimdi ? #Sinovac kullanımı durduruldu.❌
#Biontech mi #Bitcoin mi daha kârlı ?🤔🤲🤑 https://t.co/95qdhBL52O",0,0,2021-07-09 23:57:15
1,@Kayrazdemir18 @MmineZeybekolu1 @drfahrettinkoca Biontech aşısı hakkında kaç saat nasıl araştırmalar yaptınız? Kaç saat dersler aldınız? Bu araştırmaları ve aldığın dersleri insanlara anlatsanda öğrense ve elindeki boş ve cahil insan ölçer aletini kenara bıraksan nasıl olur?,0,0,2021-07-09 23:56:00
2,#COVID19 #aşı sı oldunuz mu? #vaccinated #vac #vaccination #sinovac #Biontech,0,0,2021-07-09 23:55:16
3,biontech aşıları arçelik buzdolabında saklıyolarsa büyük felaket kesinlikle vestel buzdolabında saklanmalı.,1,0,2021-07-09 23:54:36
4,@baha31122020 Bence sen en az iki doz Biontech vurunmalısın. 3 ve 4 doz olursa daha faydalı olur. Bunca bilimadamı aptal değil ya. Hem herkes vurundu. Bi cacık olmadı. Saçmalıyo bunlar..,0,0,2021-07-09 23:54:04
5,Bugün 2. doz Biontech aşımı olurken fotoğraf çektirmedim. İnşallah faydası olur.,9,0,2021-07-09 23:53:42
6,"Tüm akrabalarımdan iki kişi hariç hepsi sinovac ve biontech oldu, klasik aşı sonrası kol ağrısı (bazılarında o bile yok) hariç hiçbir şey yaşamadık ama şuraya bi giriyorum wow ne saçma sapan şeyler sanırsın bize su basmışlar",0,0,2021-07-09 23:52:28
7,ABD: Pfizer/BioNTech ve Moderna aşısı sonrası miyokardit vakaları beklenenden yüksek https://t.co/SGt0oke4C7,1,0,2021-07-09 23:52:01
8,2 doz #Sinovac ve #Biontech olanların antikorları harekette geçiyordur. https://t.co/g4FzZ9NXFg,0,0,2021-07-09 23:50:17
9,"@norologg Macar biyokimyacı Katalin Kariko'nun çalışmaları olmasaydı, Pfizer-BioNTech ve Moderna'nın Covid-19'a karşı geliştirdikleri mRNA bazlı aşılarının bu kadar hızlı çıkması mümkün olmayacaktı. Katalin Ablayı da kutluyoruz..",4,0,2021-07-09 23:49:04
10,"#ÖgrencilerimizDenekDegil
#OrdumuzDenekDegil #AzerbayCANımızaDokunma #Sinovac #Biontech  Emine Erdoğan
@drfahrettinkoca
@saglikbakanligi https://t.co/hQnAlEnyzQ",2,0,2021-07-09 23:48:49
11,"@faryabi_al @Herhangibirixy @erenserap @CaKizil Bilimsel bir çalışma, ancak başka bir bilimsel çalışma ile çürütülür, https://t.co/njD59WItk8'un copy-paste uzmanları ile değil! 
Prof. pozisyonuna gelmiş biri akademik kariyerini tehlikeye atıp, Pfizer-Biontech'te %96 graphene-oxide tespit ettim diyorsa, en azından okunmalı!",5,1,2021-07-09 23:47:19
12,@CaKizil Çağhan hocam öncelikle bilgilendirmeleriniz için sonsuz teşekkürler. Bahsettiginiz çift doz aşilama sadece biontech için mi yoksa sinovac da yeterli midir?,0,0,2021-07-09 23:46:40
13,2.doz biontech sonrası hasta olan var değil mi? Yalnız olmadığımı bilmem lazım 🥺,0,0,2021-07-09 23:45:28
14,"Norveçli kadınlar, Biontech Kovid-19 aşısı olduktan sonra yaşadıkları sıra dışı 'yan etkileri' sosyal medyada anlattı. Birçok kadın sosyal medya hesapları üzerinden, aşı olduktan sonra gögüslerinde büyüme gözlemlediğini belirtti.",345,14,2021-07-09 23:45:09
15,Biontech kurucu ortağı Dr. Özlem Türeci,2,0,2021-07-09 23:43:54
16,Biomda ki b harfini biontech asisi oldugum icin yazdim bana bu konu hakkinda baska soru sorma,8,0,2021-07-09 23:41:22
