|polarity|tweet
0|0.0|Second BioNtech shot appointment acquired
1|0.15714285714285714|areearly3 nichpic TimJDillon The Pfizerbiontech vaccine was largely researched and developed in Germany
2|0.15367965367965367|pepeMcGee billbowtell Oh right So Pfizer only had 10M left to offer usAnd only 18M to offer New ZealandBut were able to offer the EU 200M after we ordered
3|0.0|Pfizer BioNTech kicked off the debate over booster shots with a Thursday announcement that they planned to seek US authorization for a third COVID19 shot in the coming weeks
4|0.175|Let me also add that Moderna and BioNTech have both confirmed that their shots contain not a trace of GO nor does the AZNampJNJ vaccine Graphene Oxide is commonly known with the last generationcurrent generation intranasal flu vaccine It is non hazardous when used correctly
5|0.05|peterkemplawyer spottedpelican AndrewHayen billbowtell AustralianLabor healthgovau to only order 10m mRNA in Nov inconceivable mRNA vaccine technology decades old Pfizer amp Biontech partnership dates from 2018 for manufacture By Sept trials favouring mRNA NOT Viral Vector AZ amp JJ In Nov AZ hit a trial speedbump
6|0.0|Pfizer BioNTech to seek authorization for COVID booster shot as Delta variant spreads
7|0.0|UPDATE 3Pfizer BioNTech to seek authorization for COVID booster shot as Delta variant spreads PFE BNTX
8|0.16666666666666666|The PfizerBioNTech and Moderna jabs have been linked to cases of mild heart inflammation but the benefits still outweigh the risks according to European and UK health agencies
9|0.17777777777777778|Pfizers COVID19 vaccine is less effective after six months making booster shot vital
10|0.0|Pfizer BioNTech kicked off the debate over booster shots with a Thursday announcement that they planned to seek US authorization for a third COVID19 shot in the coming weeks
11|0.0|daddyhope WIONews Indonesia Budi Gunadi Sadikin said on Friday it was wrong to blame the vaccine for the surge as countries like Israel and Britain where most people were given the PfizerBioNTech or AstraZeneca jabs were also experiencing surges
12|0.0|Pfizer BioNTech kicked off the debate over booster shots with a Thursday announcement that they planned to seek US authorization for a third COVID19 shot in the coming weeks
13|0.03125|ediithibarra Hi Edith The WHO has evaluated that these vaccines have met the necessary criteria for safety and efficacyAstraZenecaOxford vaccineJohnson and JohnsonModernaPfizerBionTechSinopharmSinovacPlease know no other vaccines are being accepted at this time Gabbie
14|0.0|There is no conclusive evidence that the PfizerBioNTech COVID19 vaccine contains graphene oxide Health Feedback via GoogleNews
15|0.0|Pfizer BioNTech kicked off the debate over booster shots with a Thursday announcement that they planned to seek US authorization for a third COVID19 shot in the coming weeks
16|0.0|Pfizer BioNTech kicked off the debate over booster shots with a Thursday announcement that they planned to seek US authorization for a third COVID19 shot in the coming weeks
17|-0.2388888888888889|SquigglyRick Quietly late last year Biontech published buried at Figure 2jk evidence of an mRNA cancer vaccine working lines go down in the waterfall plot CancerVaccines have failed for decades mRNA might be the vaccines we have been hoping for
18|0.0|BREAKING telehealthcare convener
19|0.0|Pfizer and BioNTech plan to file for emergency use authorization for COVID vaccine booster as Delta variantspreads
20|0.13393939393939394|Pfizers COVID19 vaccine is less effective after six months making booster shot vital The New Daily
21|0.0|SaudiArabias Food and Drug Authority approved Moderna COVID19 vaccine for emergency use making it the fourth approved vaccine in the Kingdom along with PfizerBioNTech OxfordAstraZeneca and Johnson amp Johnson
22|0.15000000000000002|Why covid continues to be out of control in Latin America In Brazil only 13 of residents are fully vaccinated despite four vaccines available OxfordAstraZeneca PfizerBioNTechCoronaVac and JanssenReason Everbody wants Pfizer and people dont trust Chinese CoronaVac
23|0.42000000000000004|AlexBerenson modernatx BioNTechGroup pfizer US told Pfizer We wont by a booster for Delta two doses are excellent alreadyEurope did too too early to determine whether more shots are currently required It was confident for now that the two doses were sufficient
24|0.2|JuanDough4 LoveOceanMtnSun bblock29 Hell yeah Im on board If they make me get a whole card at the DMV to vote then I want some plastic for that BioNTech shot I got I wouldnt mind rocking some BioNTech wallet candy with my shares
25|0.16666666666666666|Pfizer PFEN and its partner BioNTech plan to ask US and European regulators to approve a booster dose following a twoshot regimen of their COVID19 vaccine based on evidence of greater risk of infection six months after inoculation nL2N2OK2VD
26|0.0|MYTH 2 The COVID19 vaccines from PfizerBioNTech and Moderna have reported that their vaccines contain no preservatives
27|0.5|cnnbrk No Phizer amp biontech top managers got used to be billionaires
28|0.0|The clinical trial of the mRNAbased vaccine BNT162b2 from PfizerBioNTechOf note the nanoparticles that deliver the mRNA contain polyethylene glycol PEG a compound that has been linked to unwanted severe allergylike symptoms
29|-0.2|BioNTech Cofounder Pfizers COVID19 Vaccine Was Designed in Just Few Hours
30|0.0|Pfizer BioNTech to seek US Europe authorization for COVID booster shot against Delta variant reinfection
31|0.5|Health Canada authorizes more flexible storage conditions for PfizerBioNTech COVID19 vaccine
32|0.0|I got the vaccine COVID19 Biontech Pfizer
33|0.0|LisaEll1980 AlexBerenson modernatx BioNTechGroup pfizer I keep wondering the same thing
34|0.13393939393939394|Pfizers COVID19 vaccine is less effective after six months making booster shot vital The New Daily
35|0.0|EULondonMark What vaccine did you receive UK uses AZ Pfizer Biontech and Moderna Same as EU I believe with the exception of some EU countries who also use chinese and russian vaccines
36|0.3|The company Pfizer and BioNTech expects the third dose to be highly effective against the Delta variant
37|0.3|The company Pfizer and BioNTech expects the third dose to be highly effective against the Delta variant via philstarlife
38|-0.5|JamieBurress AlexBerenson modernatx BioNTechGroup pfizer Im sorry
39|0.05833333333333333|RuuTV MarcusKretz TadaCharly I got my 2nd BioNtechPfizer shot yesterday Had a mild fever in the night and a headache today Now 36h later its all but gone All in all the symptoms hit harder but lasted shorter than the 1st time
40|0.0|Pfizer BioNTech to seek authorization for COVID booster shot as Delta variant spreads
41|0.0|So the two BioNTech doses I received in Hong Kong in April dont count for now
42|0.25|Heart inflammation link to Pfizer BioNTech and Moderna jabs Doctors and patients have been advised to be aware of the symptoms of heart inflammation 2
43|0.0|Pfizer BioNTech kicked off the debate over booster shots with a Thursday announcement that they planned to seek US authorization for a third COVID19 shot in the coming weeks
44|0.0|rtfmedia EllieBurnett11 SensusFidelium BVMConsolatrix chesterbelloc3 Forty 85 people with outbreakassociated COVID19 had never received any COVID19 vaccine doses CDC officials said Three 6 had received 1 dose of Moderna or PfizerBioNTech
45|-0.2|Those that havent figured out the game by now never will Nothing personal Its just business Pfizer wrote the Bible on how to unethically profit in times of chaos Get that money
46|0.16666666666666666|The Vx have helped us but its just wrong to think about Many investors are and were hoping for annual recurring revenue from these companies vaccineshow troublesome is this latest data for the prospects for Pfizer BioNTech and Moderna
47|0.4|Current variants0day threat for DNA lab Monkeyz who want to fly like batzZ
